category,no_of_speakers,no_of_utterances,overlapping_time,prob_of_confidence_utterances,prob_of_neutral_utterances,prob_of_unconfident_utterances,total_no_of_time_difference,total_no_of_utterance_length,total_sequence_duration
action,1,1,0.0,0.0,1.0,0.0,0.0,9.319999999999936,9.319999999999936
action,1,1,0.0,0.0,1.0,0.0,0.0,4.2999999999999545,4.2999999999999545
action,1,2,0.0,0.0,1.0,0.0,1.2699999999999818,11.129999999999995,11.129999999999995
problem,2,4,0.04761904761904436,0.5,0.5,0.0,249.12,19.949999999999932,19.949999999999932
decision,1,2,0.0,0.5,0.5,0.0,205.13,11.950000000000045,11.950000000000045
decision,2,2,0.0,1.0,0.0,0.0,10.089999999999918,11.730000000000018,11.730000000000018
decision,1,1,0.0,0.0,0.0,1.0,0.0,7.7900000000000205,7.7900000000000205
action,1,2,0.0,0.0,1.0,0.0,0.0,7.850000000000023,7.850000000000023
problem,2,3,0.0,0.0,1.0,0.0,64.35000000000002,17.489999999999895,17.489999999999895
problem,2,4,0.0,0.0,0.75,0.25,23.819999999999936,24.649999999999977,24.649999999999977
problem,2,3,0.0,0.0,1.0,0.0,21.07000000000005,12.67999999999995,12.67999999999995
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.009999999999991,6.009999999999991
decision,1,1,0.0,0.0,1.0,0.0,0.0,2.67999999999995,2.67999999999995
decision,1,3,0.0,0.0,1.0,0.0,19.980000000000018,18.09999999999991,18.09999999999991
action,1,6,0.031802120141342385,0.3333333333333333,0.33333333333333337,0.3333333333333333,823.3,19.810000000000088,19.810000000000088
problem,3,4,0.0,0.0,1.0,0.0,42.5,22.230000000000018,22.230000000000018
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
action,1,1,0.0,0.0,1.0,0.0,0.0,4.560000000000002,4.560000000000002
action,2,2,0.0,0.0,1.0,0.0,-0.39999999999997726,6.589999999999975,6.589999999999975
action,1,1,0.0,0.0,1.0,0.0,0.0,15.879999999999995,15.879999999999995
problem,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
action,1,1,0.0,0.0,0.0,1.0,0.0,7.130000000000109,7.130000000000109
action,1,1,0.0,0.0,0.0,1.0,0.0,3.2799999999999727,3.2799999999999727
action,1,1,0.0,0.0,0.0,1.0,0.0,3.2100000000000364,3.2100000000000364
problem,4,30,0.01802588739776076,0.13333333333333333,0.0,0.8666666666666667,1467.0600000000004,125.9299999999995,125.9299999999995
problem,3,11,0.07573574809631738,0.09090909090909091,0.0,0.9090909090909091,643.02,48.59000000000003,48.59000000000003
problem,3,13,0.0,0.07692307692307693,0.0,0.9230769230769231,141.84000000000037,54.44999999999959,54.44999999999959
problem,4,22,0.01592130615556401,0.4090909090909091,0.0,0.5909090909090909,328.7400000000001,98.60999999999979,98.60999999999979
problem,2,5,0.007922535211267089,0.0,0.0,1.0,1506.37,34.07999999999993,34.07999999999993
decision,1,2,0.0,0.5,0.0,0.5,2.1899999999999977,15.010000000000005,15.010000000000005
decision,1,2,0.0,0.0,0.0,1.0,10.990000000000009,12.47999999999999,12.47999999999999
decision,1,1,0.0,0.0,0.0,1.0,0.0,5.0800000000000125,5.0800000000000125
