category,no_of_speakers,no_of_utterances,overlapping_time,prob_of_confidence_utterances,prob_of_neutral_utterances,prob_of_unconfident_utterances,total_no_of_time_difference,total_no_of_utterance_length,total_sequence_duration
action,1,1,0.0,0.0,1.0,0.0,0.0,9.319999999999936,9.319999999999936
action,1,1,0.0,0.0,1.0,0.0,0.0,4.2999999999999545,4.2999999999999545
action,1,2,0.0,0.0,1.0,0.0,1.2699999999999818,11.129999999999995,12.399999999999977
problem,2,4,0.9499999999999318,0.5,0.5,0.0,249.12,19.949999999999932,250.60000000000002
decision,1,2,0.0,0.5,0.5,0.0,205.13,11.950000000000045,217.08000000000004
decision,2,2,0.0,1.0,0.0,0.0,10.089999999999918,11.730000000000018,21.819999999999936
decision,1,1,0.0,0.0,0.0,1.0,0.0,7.7900000000000205,7.7900000000000205
action,1,2,0.0,0.0,1.0,0.0,0.0,7.850000000000023,7.850000000000023
problem,2,3,0.0,0.0,1.0,0.0,64.35000000000002,17.489999999999895,81.83999999999992
problem,2,4,0.0,0.0,0.75,0.25,23.819999999999936,24.649999999999977,48.469999999999914
problem,2,3,0.0,0.0,1.0,0.0,21.07000000000005,12.67999999999995,33.75
decision,1,1,0.0,1.0,0.0,0.0,0.0,6.009999999999991,6.009999999999991
decision,1,1,0.0,0.0,1.0,0.0,0.0,2.67999999999995,2.67999999999995
decision,1,3,0.0,0.0,1.0,0.0,19.980000000000018,18.09999999999991,38.07999999999993
action,1,6,0.6299999999999955,0.3333333333333333,0.33333333333333337,0.3333333333333333,823.3,19.810000000000088,819.8
problem,3,4,0.0,0.0,1.0,0.0,42.5,22.230000000000018,64.73000000000002
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,64.73000000000002
action,1,1,0.0,0.0,1.0,0.0,0.0,4.560000000000002,4.560000000000002
action,2,2,0.0,0.0,1.0,0.0,-0.39999999999997726,6.589999999999975,6.189999999999998
action,1,1,0.0,0.0,1.0,0.0,0.0,15.879999999999995,15.879999999999995
problem,0,0,0.0,0.0,1.0,0.0,0.0,0.0,15.879999999999995
decision,0,0,0.0,0.0,1.0,0.0,0.0,0.0,15.879999999999995
